rank,city,state,estimate_population_2018,census_2010,change_in_percentage,land_area_sq_miles_2016,land_area_sq_km_2016,population_density_sq_miles_2016,population_density_sq_km_2016,city_link,area_codes,county,area_land_sq_miles,gov_mayor,area_metro_sq_miles,time_zone_summer_dst,gov_type,area_water_sq_miles,about_city,lattitude,longitude,country
13,Fort Worth,Texas,895008,741206,+20.75,342.9  ,888.1 ,2491 ,962,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",682/817,"tarrant, denton, parker, wise",342.2   ,betsy price ,7102796 ,utc−5 (cdt),council-manager,7.0  ," Fort Worth is a city in the U.S. state of Texas. It is the 13th-largest city in the United States and fifth-largest city in Texas. It is the county seat of Tarrant County, covering nearly 350 square miles  into three other counties: Denton, Parker, and Wise. According to the 2017 census estimates, Fort Worth's population is 874,168. Fort Worth is the second-largest city in the Dallas–Fort Worth–Arlington metropolitan area, which is the 4th most populous metropolitan area in the United States.The city of Fort Worth was established in 1849 as an army outpost on a bluff overlooking the Trinity River. Fort Worth has historically been a center of the longhorn cattle trade. It still embraces its Western heritage and traditional architecture and design. USS Fort Worth  is the first ship of the United States Navy named after the city.", 32.781, -97.3467,USA
14,Columbus,Ohio,892533,787033,+13.40,218.5  ,565.9 ,3936 ,1520,"https://en.wikipedia.org/wiki/Columbus,_Ohio",614/ 380/ 740,"delaware, fairfield, franklin, pickaway",217.17   ,andrew j. ginther ,2078725 ,utc-4 (edt),nan,5.94  ," Columbus  is the state capital of and the most populous city in the U.S. state of Ohio. With a population of 879,170 as of 2017 estimates, it is the 14th-most populous city in the United States  and one of the fastest growing large cities in the nation. This makes Columbus the third-most populous state capital in the US  and the second-most populous city in the Midwest . It is the core city of the Columbus, OH Metropolitan Statistical Area, which encompasses ten counties. With a population of 2,078,725, it is Ohio's second-largest metropolitan area.Columbus is the county seat of Franklin County. The municipality has also annexed portions of adjoining Delaware, Pickaway and Fairfield counties. Named for explorer Christopher Columbus, the city was founded in 1812, at the confluence of the Scioto and Olentangy rivers, and assumed the functions of state capital in 1816.", 39.985, -82.9848,USA
15,San Francisco,California,883305,805235,+9.70,46.9  ,121.5 ,18569 ,7170,https://en.wikipedia.org/wiki/San_Francisco,415/628,nan,46.89   ,london breed ,4729484 ,utc−7 (pacific daylight time),mayor-council,185.00  ," San Francisco , officially the City and County of San Francisco, is a city in, and the cultural, commercial, and financial center of, Northern California. San Francisco is the 13th-most populous city in the United States, and the fourth-most populous in California, with 883,305 residents as of 2018. It covers an area of about 46.89 square miles , mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area, making it the second-most densely populated large US city, and the fifth-most densely populated U.S. county, behind only four of the five New York City boroughs. San Francisco is also part of the fifth-most populous primary statistical area in the United States, the San Jose–San Francisco–Oakland, CA Combined Statistical Area .As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868. As of 2015, San Francisco proper had a GDP of $154.2 billion, and a GDP per capita of $178,479. The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938. San Francisco was ranked 16th in the world and third in the United States on the Global Financial Centres Index as of March 2019.",37.7272,-123.0322,USA
16,Charlotte,North Carolina,872498,731424,+19.29,305.4  ,791.0 ,2757 ,1064,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",704/ 980,mecklenburg,nan,vi lyles ,2474314 ,utc−4 (edt),council-manager,nan," Charlotte  is the most populous city in the U.S. state of North Carolina. Located in the Piedmont, it is the county seat of Mecklenburg County. In 2017, the U.S. Census Bureau estimated the population was 859,035, making it the 17th-most populous city in the United States. The Charlotte metropolitan area's population ranks 23rd in the U.S., and had a 2016 population of 2,474,314.   The Charlotte metropolitan area is part of a sixteen-county market region or combined statistical area with a 2016 census-estimated population of 2,632,249.Between 2004 and 2014, Charlotte was ranked as the country's fastest-growing metro area, with 888,000 new residents. Based on U.S. Census data from 2005 to 2015, it tops the 50 largest U.S. cities as the millennial hub. It is the second-largest city in the southeastern United States, just behind Jacksonville, Florida. It is the third-fastest-growing major city in the United States. It is listed as a ""gamma"" global city by the Globalization and World Cities Research Network. Residents are referred to as ""Charlotteans"".", 35.207, -80.8310,USA
17,Indianapolis,Indiana,867125,820445,+5.69,361.5  ,936.3 ,2366 ,914,https://en.wikipedia.org/wiki/Indianapolis,317/463,marion,361.51   ,joe hogsett ,2004230 ,utc−4 (edt),strong mayor–council,6.52  ," Indianapolis , often shortened to Indy, is the state capital and most populous city of the U.S. state of Indiana and the seat of Marion County. According to 2017 estimates from the U.S. Census Bureau, the consolidated population of Indianapolis and Marion County was 872,680. The ""balance"" population, which excludes semi-autonomous municipalities in Marion County, was 863,002. It is the 16th most populous city in the U.S. The Indianapolis metropolitan area is the 34th most populous metropolitan statistical area in the U.S., with 2,028,614 residents. Its combined statistical area ranks 27th, with a population of 2,411,086. Indianapolis covers 368 square miles , making it the 16th largest city by land area in the U.S.Indigenous peoples inhabited the area dating to approximately 2000 BC. In 1818, the Delaware relinquished their tribal lands in the Treaty of St. Mary's. In 1821, Indianapolis was founded as a planned city for the new seat of Indiana's state government. The city was platted by Alexander Ralston and Elias Pym Fordham on a 1 square mile  grid next to the White River. Completion of the National and Michigan roads and arrival of rail later solidified the city's position as a manufacturing and transportation hub. Two of the city's nicknames reflect its historical ties to transportation—the ""Crossroads of America"" and ""Railroad City"". Since the 1970 city-county consolidation, known as Unigov, local government administration operates under the direction of an elected 25-member city-county council headed by the mayor.", 39.776, -86.1459,USA
18,Seattle,Washington,744955,608660,+22.39,83.8  ,217.0 ,8405 ,3245,https://en.wikipedia.org/wiki/Seattle,206,king,83.86   ,jenny durkan ,3733580 ,utc−7 (pdt),mayor–council,58.21  ," Seattle  see-AT-əl is a seaport city on the West Coast of the United States. It  is the seat of King County, Washington. With an estimated 730,000 residents as of 2018, Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. According to U.S. Census data released in 2018, the Seattle metropolitan area's population stands at 3.87 million, and ranks as the 15th largest in the United States. In July 2013, it was the fastest-growing major city in the United States and remained in the top 5 in May 2015 with an annual growth rate of 2.1%. In July 2016, Seattle was again the fastest-growing major U.S. city, with a 3.1% annual growth rate. Seattle is the northernmost large city in the United States.The city is situated on an isthmus between Puget Sound  and Lake Washington, about 100 miles  south of the Canada–United States border. A major gateway for trade with Asia, Seattle is the fourth-largest port in North America in terms of container handling as of 2015.",47.6205,-122.3509,USA
19,Denver,Colorado,716492,600158,+19.38,153.3  ,397.0 ,4521 ,1746,https://en.wikipedia.org/wiki/Denver,303/720,nan,153.33   ,michael hancock ,2888227 ,utc−6 (mdt),consolidated city and county,1.63  ," Denver , officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River, approximately 12 mi  east of the foothills of the Rocky Mountains. Denver is named after James W. Denver, a governor of the Kansas Territory, and it is nicknamed the Mile High City because its official elevation is exactly one mile  above sea level. The 105th meridian west of Greenwich, the longitudinal reference for the Mountain Time Zone, passes directly through Denver Union Station.Denver is ranked as a Beta world city by the Globalization and World Cities Research Network. With an estimated population of 704,621 in 2017, Denver is the 19th-most populous U.S. city, and with a 17.41% increase since the 2010 United States Census, it has been one of the fastest-growing major cities in the United States. The 10-county Denver-Aurora-Lakewood, CO Metropolitan Statistical Area had an estimated 2017 population of 2,888,227 and is the 19th most populous U.S. metropolitan statistical area. The 12-city Denver-Aurora, CO Combined Statistical Area had an estimated 2017 population of 3,515,374 and is the 15th most populous U.S. metropolitan area. Denver is the most populous city of the 18-county Front Range Urban Corridor, an oblong urban region stretching across two states with an estimated 2017 population of 4,895,589. Denver is the most populous city within a 500-mile  radius and the second-most populous city in the Mountain West after Phoenix, Arizona. In 2016, Denver was named the best place to live in the United States by U.S. News & World Report.",39.7619,-104.8811,USA
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74,61.1  ,158.2 ,11148 ,4304,"https://en.wikipedia.org/wiki/Washington,_D.C.",202,nan,61.05   ,muriel bowser ,6216589 ,utc−4 (edt),nan,7.29  ," Washington, D.C., formally the District of Columbia and commonly referred to as Washington or D.C., is the capital of the United States. Founded after the American Revolution as the seat of government of the newly independent country, Washington was named after George Washington, the first President of the United States and a Founding Father. As the seat of the United States federal government and several international organizations, Washington is an important world political capital. The city is also one of the most visited cities in the world, with more than 20 million tourists annually.The signing of the Residence Act on July 16, 1790, approved the creation of a capital district located along the Potomac River on the country's East Coast. The U.S. Constitution provided for a federal district under the exclusive jurisdiction of the U.S. Congress, and the District is therefore not a part of any state. The states of Maryland and Virginia each donated land to form the federal district, which included the pre-existing settlements of Georgetown and Alexandria. The City of Washington was founded in 1791 to serve as the new national capital. In 1846, Congress returned the land originally ceded by Virginia; in 1871, it created a single municipal government for the remaining portion of the District.", 38.904, -77.0172,USA
21,Boston,Massachusetts,694583,617594,+12.47,48.3  ,125.1 ,13938 ,5381,https://en.wikipedia.org/wiki/Boston,617/857,suffolk,48.42   ,marty walsh ,4628910 ,utc−4 (edt),strong mayor / council,41.21  ," Boston is the capital and most populous city of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles  with an estimated population of 694,583 in 2018, making it also the most populous city in New England. Boston is the seat of Suffolk County as well, although the county government was disbanded on July 1, 1999. The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston, a metropolitan statistical area  home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country. As a combined statistical area , this wider commuting region is home to some 8.2 million people, making it the sixth-largest in the United States.Boston is one of the oldest cities in the United States, founded on the Shawmut Peninsula in 1630 by Puritan settlers from England. It was the scene of several key events of the American Revolution, such as the Boston Massacre, the Boston Tea Party, the Battle of Bunker Hill, and the Siege of Boston. Upon gaining U.S. independence from Great Britain, it continued to be an important port and manufacturing hub as well as a center for education and culture. The city has expanded beyond the original peninsula through land reclamation and municipal annexation. Its rich history attracts many tourists, with Faneuil Hall alone drawing more than 20 million visitors per year. Boston's many firsts include the United States' first public park , first public or state school  and first subway system .", 42.332, -71.0202,USA
22,El Paso,Texas,682669,649121,+5.17,256.8  ,665.1 ,2660 ,1030,"https://en.wikipedia.org/wiki/El_Paso,_Texas",915,el paso,255.3   ,nan,844818 ,utc−6 (mdt),council–manager,1.0  ," El Paso  is a city in and the county seat of El Paso County, Texas, United States, in the far western part of the state. The 2017 population estimate for the city from the U.S. Census was 683,577. Its metropolitan statistical area  covers all of El Paso and Hudspeth counties in Texas, and has a population of 844,818.El Paso stands on the Rio Grande across the Mexico–United States border from Ciudad Juárez, the most populous city in the Mexican state of Chihuahua with 1.4 million people. Las Cruces, in the neighboring U.S. state of New Mexico, has a population of 215,579. On the U.S. side, El Paso metropolitan area forms part of the larger El Paso–Las Cruces CSA, with a population of 1,060,397.",31.8484,-106.4270,USA
23,Detroit,Michigan,672662,713777,−5.76,138.8  ,359.5 ,4847 ,1871,https://en.wikipedia.org/wiki/Detroit,313,wayne,138.72   ,mike duggan ,4292060 ,utc−4 (edt),mayor–council,4.17  ," Detroit  is the largest and most populous city in the U.S. state of Michigan, the largest United States city on the United States–Canada border, and the seat of Wayne County. The municipality of Detroit had a 2017 estimated population of 673,104, making it the 23rd-most populous city in the United States. The metropolitan area, known as Metro Detroit, is home to 4.3 million people, making it the second-largest in the Midwest after the Chicago metropolitan area. Regarded as a major cultural center, Detroit is known for its contributions to music and as a repository for art, architecture and design.Detroit is a major port located on the Detroit River, one of the four major straits that connect the Great Lakes system to the Saint Lawrence Seaway. The Detroit Metropolitan Airport is among the most important hubs in the United States. The City of Detroit anchors the second-largest regional economy in the Midwest, behind Chicago and ahead of Minneapolis–Saint Paul, and the 13th-largest in the United States. Detroit and its neighboring Canadian city Windsor are connected through a tunnel and the Ambassador Bridge, the busiest international crossing in North America. Detroit is best known as the center of the U.S. automobile industry, and the ""Big Three"" auto manufacturers General Motors, Ford, and Chrysler are all headquartered in Metro Detroit.", 42.383, -83.1022,USA
24,Nashville,Tennessee,669053,601222,+11.28,475.9  ,1232.6 ,1388 ,536,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",615/629,davidson,504.03   ,david briley ,1903045,utc−5 (cdt),nan,21.91  ," Located in northern Middle Tennessee, Nashville is the main core of the largest metropolitan area in Tennessee. The 2017 population of the entire 14-county Nashville metropolitan area was 1,903,045. The 2017 population of the Nashville–Davidson–Murfreesboro–Columbia combined statistical area, a larger trade area, was 2,027,489.Named for Francis Nash, a general of the Continental Army during the American Revolutionary War, the city was founded in 1779. The city grew quickly due to its strategic location as a port and railroad center. Nashville seceded with Tennessee during the American Civil War and in 1862 became the first state capital to fall to Union troops. After the war the city reclaimed its position and developed a manufacturing base.", 36.171, -86.7850,USA
25,Portland,Oregon,653115,583776,+11.88,133.5  ,345.8 ,4793 ,1851,"https://en.wikipedia.org/wiki/Portland,_Oregon",503/971,multnomahwashingtonclackamas,133   ,ted wheeler ,2389228 ,utc−07:00 (pdt),commission,12  ," Portland is the largest and most populous city in the U.S. state of Oregon and the seat of Multnomah County. It is a major port in the Willamette Valley region of the Pacific Northwest, at the confluence of the Willamette and Columbia rivers. As of 2017, Portland had an estimated population of 647,805,  making it the 26th most populated city in the United States, and the second-most populous in the Pacific Northwest . Approximately 2.4 million people live in the Portland metropolitan statistical area , making it the 25th most populous MSA in the United States. Its Combined Statistical Area  ranks 18th-largest with a population of around 3.2 million. Approximately 60% of Oregon's population resides within the Portland metropolitan area.Named after Portland, Maine, the Oregon settlement began to be populated in the 1830s near the end of the Oregon Trail. Its water access provided convenient transportation of goods, and the timber industry was a major force in the city's early economy. At the turn of the 20th century, the city had a reputation as one of the most dangerous port cities in the world, a hub for organized crime and racketeering. After the city's economy experienced an industrial boom during World War II, its hard-edged reputation began to dissipate. Beginning in the 1960s, Portland became noted for its growing progressive political values, earning it a reputation as a bastion of counterculture.",45.5370,-122.6500,USA
